Word,Count
{,656
=,653
+,514
},501
if,332
\"\\,175
==,164
\CustomAmmoCategoriesLog.Log.LogWrite("\\,144
return,140
static,134
public,127
|,121
\"\\n"\);\,113
new,93
BindingFlags.Instance,92
};,85
null),73
!=,70
false;,68
int,67
float,60
false),53
else,53
\false,\,52
in,47
0),47
as,46
bool,45
<,44
0;,44
true;,42
continue;,42
string,40
is,38
class,38
foreach,36
BindingFlags.NonPublic).GetValue(__instance);,36
\BindingFlags.NonPublic).SetValue(__instance,\,33
Type[],33
>,33
for,33
return;,31
\null,\,31
\IndirectFireCapable\n"\);\,31
void,31
hitIndex,31
\CustomAmmoCategoriesLog.Log.LogWrite("\get\,30
damage,30
})],30
[HarmonyPatch(new,30
(int,27
0f;,26
[HarmonyPatch(MethodType.Normal)],26
BindingFlags.NonPublic,25
weapon,25
true),24
effect,23
to,23
\0.0f,\,23
<=,23
/,22
weapon),22
index,21
null;,21
*,21
});,20
||,20
var,20
not,19
\__instance,\,19
+=,19
\"\/"\\,19
bullet,18
gameState.AddFromShopDefItem(new,18
\-1,\,18
\(int)typeof(WeaponEffect).GetField("\hitIndex"\,\,18
burnHeat,18
__instance),17
Vector3,17
\(CustomAmmoCategories.checkExistance(weapon.StatCollection,\,16
ref,16
-,16
private,16
BallisticEffect,16
&&,16
ExtAmmunitionDef,15
toHit,15
the,15
\hitIndex,\,15
\weapon,\,14
CustomAmmoCategory,14
of,14
\"\:"\\,14
Weapon,14
bullets,14
AbstractActor,14
__result,14
hit,13
cell,13
\Dictionary<string,\,13
CustomAmmoCategories.AmmoIdStatName),13
from,13
ammo,13
heat,13
(UnityEngine.Object)null),12
shell,12
a,12
//,12
extWeapon,11
>=,11
weapon.UIName,11
MapTerrainDataCellEx,11
true);,11
BindingFlags.Instance).GetValue(__instance);,11
hitIndex);,11
1;,11
ExtWeaponDef,11
AIUtil_UnitHasLOFToTargetFromPosition,11
(__instance,11
\__instance.GUID,\,11
rollMod,11
CustomAmmoCategories.findExtAmmo(CurrentAmmoId);,11
found,10
\Dictionary<int,\,10
shrapnelHitRecord,10
can't,10
object[1],10
ShrapnelHitRecord,10
extAmmoDef,10
\"\+\,10
(var,10
t,10
weapon.StatCollection.GetStatistic(CustomAmmoCategories.AmmoIdStatName).Value<string>();,10
wGUID,10
CurrentAmmoId,10
//int,10
MapTerrainDataCellEx;,10
(Weapon,9
\0,\,9
++index),9
CustomAmmoCategories.getExtWeaponDef(weapon.defId);,9
with,9
\true,\,9
(shrapnelHitRecord,9
shrapnel,9
(mineField.HitChance,9
actor,9
find,9
__result),9
ammoId,9
no,9
result,8
\FloatieMessage(__instance.GUID,\,8
\hitInfo,\,8
null);,8
\fallback\n"\);\,8
object[0],8
bulletIdx,8
\CustomAmmoCategories.getShrapnelCache(__instance.hitInfo,\,8
record,8
[HarmonyPatch(typeof(WeaponEffect))],8
:,8
Prefix(WeaponEffect,8
//__instance.Combat.MessageCenter.PublishMessage((MessageCenterMessage)new,8
\1,\,8
false);,8
,8
ammoCategory,7
[HarmonyPatch(MethodType.Getter)],7
(cell,7
\"\"\;\,7
\(BallisticEffect)typeof(BulletEffect).GetField("\parentLauncher"\,\,7
weapon.defId,7
burnCount,7
null,7
__instance.hitInfo.hitLocations[hitIndex],7
\},\,7
Effect,7
0,7
BulletEffect,7
parentLauncher,7
result;,7
List<BulletEffect>,7
ammoId);,7
WeaponHitInfo,7
\BattleTech.ShopItemType.Weapon,\,7
\(List<BulletEffect>)typeof(BallisticEffect).GetField("\bullets"\,\,7
\hitIndex:"\\,7
component,6
bulletIndex,6
AbstractActor;,6
\"\\n"\,\,6
hitInfo;,6
__instance.hitInfo,6
CustomAmmoCategories.Epsilon),6
1f;,6
(CustomAmmoCategories.getWeaponHasShells(__instance.weapon)),6
on,6
weapon.ammoBoxes.Count;,6
(weapon.ammoBoxes[index].CurrentAmmo,6
(UnityEngine.Object)null)),6
//if,6
endPos,6
__instance.currentState,6
//},6
0);,6
\Log.LogWrite("\\,6
\typeof(WeaponEffect).GetField("\t"\,\,6
hitDamage,6
cuCat,6
\CustomAmmoCategoriesLog.Log.LogWrite("\AMS\,6
duration,6
[HarmonyPatch(typeof(BallisticEffect))],6
GameObject,6
typeof(int),6
(weapon.ammoBoxes[index].IsFunctional,6
roll,6
ICombatant,6
has,6
0.0),6
\MeleeAttackType.NotSet,\,6
rollMod),6
y,6
